ALTO ADIGE BANCA S.P.A.;11658880155;3374;;;1;0;1;55b07188-a499-4dbc-800f-02cfdb2c8dda;cont337475ffc270febe209e76840fab65b78a5bcafe902fd7010b09a9ffbac1e66891c4;
American Express Payment Services LTD.;10725181001;36019;xxxxxxxxxx;;1;1;0;1852c0d9-84b6-4032-964f-9f8a6879dd53;cont36019f797c1c6919ee42854eb2c50d1f87d986e84e57b09c363fe89872dfedc1c74ef;
A-TONO PAYMENT INSTITUTE SPA;9217250969;36064;ATPIITM1;;1;0;1;f9199414-7120-42d1-9920-85c52944878d;cont36064a1f514a8f63257ec048086486d24d4cb28789bb770451b471990f1b67d80726d;
